"bedrooms","bathrooms","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","zipcode","lat","long","sqft_living15","sqft_lot15","log_sqft_living","age","log_sqft_lot","age_renov"
3,1,1,0,0,3,7,1180,0,98178,47.5112,-122.257,1340,5650,7.07326971745971,62,8.63941082414049,0
3,2.25,2,0,0,3,7,2170,400,98125,47.721,-122.319,1690,7639,7.85166117788927,66,8.88765269032559,26
2,1,1,0,0,3,6,770,0,98028,47.7379,-122.233,2720,8062,6.64639051484773,84,9.21034037197618,0
4,3,1,0,0,5,7,1050,910,98136,47.5208,-122.393,1360,5000,7.58069975222456,52,8.51719319141624,0
3,2,1,0,0,3,8,1680,0,98074,47.6168,-122.045,1800,7503,7.4265490723973,30,8.99714715151514,0
4,4.5,1,0,0,3,11,3890,1530,98053,47.6561,-122.005,4760,101930,8.59785109443369,16,11.5320415821625,0
3,2.25,2,0,0,3,7,1715,0,98003,47.3097,-122.327,2238,6819,7.44716835960004,22,8.82746811252065,0
3,1.5,1,0,0,3,7,1060,0,98198,47.4095,-122.315,1650,9711,6.96602418710611,54,9.18101454259435,0
3,1,1,0,0,3,7,1050,730,98146,47.5123,-122.337,1780,8113,7.48436864328613,57,8.91865027812686,0
3,2.5,2,0,0,3,7,1890,0,98038,47.3684,-122.031,2390,7570,7.54433210805369,14,8.78874588193814,0
3,2.5,1,0,0,3,8,1860,1700,98007,47.6007,-122.145,2210,8925,8.17751582384608,52,9.18972941807206,0
2,1,1,0,0,4,7,860,300,98115,47.69,-122.292,1330,6000,7.05617528410041,75,8.69951474821019,0
3,1,1.5,0,0,4,7,1430,0,98028,47.7558,-122.229,1780,12697,7.26542972325395,90,9.89852526070631,0
3,1.75,1,0,0,4,7,1370,0,98074,47.6127,-122.045,1370,10208,7.22256601882217,40,9.17781718027062,0
5,2,1.5,0,0,3,7,1810,0,98107,47.67,-122.394,1360,4850,7.50108212425987,117,8.48673398393153,0
4,3,2,0,3,3,9,1980,970,98126,47.5714,-122.375,2140,4000,7.98956044933387,38,8.51719319141624,0
3,2,2,0,0,3,7,1890,0,98019,47.7277,-121.962,1890,14018,7.54433210805369,23,9.5496656775798,0
4,1,1.5,0,0,4,7,1600,0,98103,47.6648,-122.343,1610,4300,7.37775890822787,101,8.36637030168165,0
2,1,1,0,0,4,7,1200,0,98002,47.3089,-122.21,1060,5095,7.09007683577609,96,9.19522673416613,0
3,1,1,0,0,4,7,1250,0,98003,47.3343,-122.306,1280,8850,7.13089883029635,48,9.1874810778301,0
4,1.75,1,0,0,4,7,860,760,98133,47.7025,-122.341,1400,4980,7.39018142822643,70,8.5131851700187,0
3,2.75,1,0,4,3,9,2330,720,98040,47.5316,-122.233,4110,20336,8.02289686960146,49,10.7114578369176,0
5,2.5,2,0,0,3,8,2270,0,98092,47.3266,-122.169,2240,7005,7.72753511047545,22,8.74830491237962,0
2,1.5,1,0,0,3,7,1070,0,98030,47.3533,-122.166,1220,8386,6.97541392745595,32,9.17398754251038,0
3,2.25,2,0,0,4,8,2450,0,98030,47.3739,-122.172,2200,6865,7.80384330353877,32,8.77955745588373,0
3,2,1.5,0,0,5,6,1710,0,98002,47.3048,-122.218,1030,4705,7.44424864949671,76,8.45467928602699,0
3,1.75,2,0,0,3,8,1750,700,98119,47.6386,-122.36,1760,3573,7.80384330353877,102,7.89766815072691,0
3,1,1.5,0,0,5,8,1400,0,98112,47.6221,-122.314,1860,3861,7.24422751560335,108,7.36581283720947,0
3,1.75,1,0,0,3,7,790,730,98115,47.695,-122.304,1520,6235,7.32646561384032,69,8.76092337633884,0
4,2.5,2,0,0,3,8,2570,0,98052,47.7073,-122.11,2630,6026,7.85166117788927,12,8.87807925612644,0
3,2.5,2,0,0,3,8,2320,0,98027,47.5391,-122.07,2580,3980,7.74932246466036,14,8.28903709827848,0
2,1.5,3,0,0,3,7,1190,0,98133,47.7274,-122.357,1390,1756,7.08170858610557,12,7.14282740116162,0
4,1.75,1.5,0,0,4,7,1510,820,98117,47.6823,-122.368,1460,5000,7.75362354655975,88,8.51719319141624,0
3,1,1.5,0,0,4,8,1090,0,98117,47.6889,-122.375,1570,5080,6.99393297522319,88,8.00636756765025,0
4,2.75,1,0,0,3,7,1280,780,98058,47.4276,-122.157,2020,8720,7.63046126178363,36,8.80372460211062,0
3,2.5,1.5,0,0,3,8,1510,790,98115,47.6827,-122.31,1590,3264,7.74066440191724,87,8.02617019494643,15
4,1,1,0,0,1,5,930,730,98052,47.6621,-122.132,2160,11467,7.41457288135059,84,10.4587510257327,0
4,2,2,0,0,4,8,2360,0,98107,47.6702,-122.362,1730,4700,7.76641689801966,113,8.69951474821019,0
4,1,1,0,0,2,7,890,330,98001,47.3341,-122.282,1290,7800,7.1066061377273,48,8.99652814809086,0
4,2.5,2,0,0,3,8,2620,0,98056,47.5301,-122.18,2620,11884,7.87092959675514,21,8.92970011431345,0
4,2.5,2,0,0,3,9,2570,0,98074,47.6145,-122.027,2470,5669,7.85166117788927,17,8.61613313927114,0
4,2.25,1,0,0,3,8,2600,1620,98166,47.445,-122.347,2410,30617,8.34759040703006,33,10.0935292323452,0
5,2.75,2,0,0,3,9,3595,0,98053,47.6848,-122.016,3625,5639,8.18729927015515,3,8.63746202380718,0
3,1,2,0,0,3,7,1570,0,98119,47.6413,-122.364,1580,2640,7.35883089834235,95,7.73193072194849,0
3,1,1,0,0,4,6,920,360,98058,47.4485,-122.175,1340,8808,7.15461535691366,58,9.17533476277737,0
3,2.5,2,0,0,3,8,3160,0,98019,47.7443,-121.977,3050,9232,8.05832730658096,14,9.51804563563343,0
3,1,1,0,0,3,6,990,0,98023,47.3066,-122.371,1228,8840,6.89770494312864,51,9.05111014640562,0
