"log_sqft_living","bedrooms","bathrooms","grade","waterfront"
7.07326971745971,3,1,7,0
7.85166117788927,3,2.25,7,0
6.64639051484773,2,1,6,0
7.58069975222456,4,3,7,0
7.4265490723973,3,2,8,0
8.59785109443369,4,4.5,11,0
7.44716835960004,3,2.25,7,0
6.96602418710611,3,1.5,7,0
7.48436864328613,3,1,7,0
7.54433210805369,3,2.5,7,0
8.17751582384608,3,2.5,8,0
7.05617528410041,2,1,7,0
7.26542972325395,3,1,7,0
7.22256601882217,3,1.75,7,0
7.50108212425987,5,2,7,0
7.98956044933387,4,3,9,0
7.54433210805369,3,2,7,0
7.37775890822787,4,1,7,0
7.09007683577609,2,1,7,0
7.13089883029635,3,1,7,0
7.39018142822643,4,1.75,7,0
8.02289686960146,3,2.75,9,0
7.72753511047545,5,2.5,8,0
6.97541392745595,2,1.5,7,0
7.80384330353877,3,2.25,8,0
7.44424864949671,3,2,6,0
7.80384330353877,3,1.75,8,0
7.24422751560335,3,1,8,0
7.32646561384032,3,1.75,7,0
7.85166117788927,4,2.5,8,0
7.74932246466036,3,2.5,8,0
7.08170858610557,2,1.5,7,0
7.75362354655975,4,1.75,7,0
6.99393297522319,3,1,8,0
7.63046126178363,4,2.75,7,0
7.74066440191724,3,2.5,8,0
7.41457288135059,4,1,5,0
7.76641689801966,4,2,8,0
7.1066061377273,4,1,7,0
7.87092959675514,4,2.5,8,0
7.85166117788927,4,2.5,9,0
8.34759040703006,4,2.25,8,0
8.18729927015515,5,2.75,9,0
7.35883089834235,3,1,7,0
7.15461535691366,3,1,6,0
8.05832730658096,3,2.5,8,0
6.89770494312864,3,1,6,0
7.73630709654828,4,2.5,9,0
7.13089883029635,3,1.75,7,0
7.92044650514261,3,2.5,9,1
7.08170858610557,3,1,7,0
8.05515773181968,5,2.5,8,0
7.25134498337221,3,1.75,7,0
7.59085212368858,2,1.75,7,0
7.91205688817901,5,2.25,8,0
7.94803199063728,4,2.5,9,0
7.71868549519847,4,2.5,7,0
7.79152281915073,3,2.5,8,0
8.08641027532378,5,3.25,8,0
7.52294091807237,4,3,8,0
7.67322312112171,3,2.25,8,0
7.13886699994552,3,1.75,7,0
7.83161727635261,3,1.75,8,0
7.33953769540767,3,1.75,8,0
7.41457288135059,3,2.25,7,0
7.92660259918138,3,2.75,7,0
7.90838715929004,4,2.5,10,0
7.71423114484909,4,2.5,7,0
6.90775527898214,3,1,7,0
8.07090608878782,5,2.25,8,0
8.47010158388239,5,3.25,11,0
7.13886699994552,3,2,7,0
7.91935619066062,4,2,7,0
7.77485576666552,4,2.5,8,0
7.4899708988348,3,1.75,7,0
8.14031554015999,4,4,10,0
7.4730690880322,4,1.75,7,0
6.94697599213542,3,1,7,0
7.25134498337221,3,1,7,0
8.14612951002541,4,2.5,10,0
7.7621706071382,3,2.5,8,0
7.54960916515453,4,2.5,7,0
7.61085279039525,2,1,7,0
7.4265490723973,3,1.5,8,0
6.86693328446188,3,1,6,0
7.6685611080159,3,1.5,9,0
7.88608140177575,5,2.25,7,0
7.92660259918138,3,3.25,9,0
7.38398945797851,2,2.25,7,0
6.93731408122368,2,1.75,7,0
7.59085212368858,4,2.5,7,0
8.16621626859214,5,2.75,10,0
7.09007683577609,3,1,7,0
7.36518012602101,3,1.5,8,0
7.36518012602101,3,1.5,8,0
8.10167774745457,4,2.5,7,0
7.58069975222456,3,1.75,7,0
7.05617528410041,4,1.5,7,0
7.50108212425987,3,1.75,7,0
7.74932246466036,3,2.5,9,0
7.63530388625941,3,2.5,9,0
7.59085212368858,3,2,7,0
7.69165682281055,3,2.25,8,0
7.97933889526233,3,2.5,8,0
7.09837563859079,3,1,7,0
7.75790620835175,3,2.5,8,0
7.4205789054108,3,1,7,0
7.12286665859908,2,1.75,8,0
8.0519780789023,4,2.5,10,0
7.61579107203583,5,1.75,7,0
7.74500280351584,4,2.5,8,0
7.13886699994552,3,1.75,6,0
7.33953769540767,3,1.75,7,0
7.64012317269536,3,1.75,7,0
8.0802374162167,4,2.5,9,0
8.38480400337049,3,3.5,8,0
7.37148929521428,3,3.5,8,0
6.77992190747225,2,1,6,0
7.35883089834235,4,2,6,0
7.38398945797851,4,1,7,0
7.78322401633604,3,2.5,8,0
7.27931883541462,3,2,7,0
6.64639051484773,2,1,6,0
7.64969262371151,4,1.75,7,0
7.97590836016554,3,2.25,9,0
7.91935619066062,4,2.75,8,0
7.64969262371151,3,2.25,8,0
7.67786350067821,4,2.25,8,0
7.74932246466036,5,3.5,7,0
7.63530388625941,4,2.5,7,0
6.96602418710611,3,1.75,7,0
7.60589000105312,4,2.25,8,0
8.28147085789517,3,3.5,9,0
7.60589000105312,3,2.5,8,0
7.6685611080159,4,3.5,9,0
7.18538701558042,3,1.75,7,0
7.61085279039525,4,1.75,7,0
7.85941315469358,4,2.25,8,0
7.08170858610557,2,1,6,0
7.0647590277918,3,2.25,8,0
7.01211529430638,2,1,7,0
7.94449216393216,5,2.5,8,0
7.38398945797851,3,1,7,0
6.96602418710611,3,1,7,0
7.61579107203583,4,2.25,8,0
8.20794694104862,4,2.5,9,0
7.84384863815247,4,1,8,0
7.79152281915073,2,2.5,7,0
7.72312009226633,5,2,8,0
7.26542972325395,3,1,7,0
7.2152399787301,3,2,8,0
7.01211529430638,3,1,7,0
7.13089883029635,3,1,7,0
8.55256033525353,4,3.25,12,0
6.5510803350434,1,1,7,0
7.07326971745971,3,1,7,0
8.28399930424853,5,3.5,9,0
7.87853419614036,4,2.75,8,0
7.14677217945264,3,2,7,0
7.4730690880322,4,1.75,8,0
7.63046126178363,5,2.25,7,0
